scenario,method,expanded_nodes,fringe_size,depth,path
Scenario 22,A*,9,8,2,left->up
Scenario 22,h3,2,5,2,left->up
Scenario 23,BFS,4,4,2,up->up
Scenario 23,DFS,30,42,30,right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->up
Scenario 23,UCS,4,4,2,up->up
Scenario 23,A*,3,4,2,up->up
Scenario 23,h3,2,3,2,up->up
Scenario 24,BFS,89,64,6,right->right->down->left->left->up
Scenario 24,DFS,72469,203,158,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->up->right->down->down->left->left->up->right->up->right->down->left->left->down->right->right->up->left->down->right->up->left->up->left->down->right->right->up->left->left
Scenario 24,UCS,89,64,6,right->right->down->left->left->up
Scenario 24,A*,88,63,6,right->right->down->left->left->up
Scenario 24,h3,6,7,6,right->right->down->left->left->up
Scenario 25,BFS,4,4,2,up->up
Scenario 25,DFS,30,42,30,right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->up
Scenario 25,UCS,4,4,2,up->up
Scenario 25,A*,3,4,2,up->up
Scenario 25,h3,2,3,2,up->up
Scenario 26,BFS,26,20,4,down->left->up->up
Scenario 26,DFS,31915,203,158,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->down->left->up->right->right->up->left->left->down->right->right->down->left->up->right->down->left->up->right->up->left->left
Scenario 26,UCS,26,20,4,down->left->up->up
Scenario 26,A*,25,20,4,down->left->up->up
Scenario 26,h3,4,6,4,down->left->up->up
Scenario 27,BFS,7,8,2,left->left
Scenario 27,DFS,2,4,2,left->left
Scenario 27,UCS,7,8,2,left->left
Scenario 27,A*,6,8,2,left->left
Scenario 27,h3,2,3,2,left->left
Scenario 28,BFS,24,18,4,left->up->up->left
Scenario 28,DFS,2380,203,152,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->down->right->up->left->down->left->up->right->up->left
Scenario 28,UCS,24,18,4,left->up->up->left
Scenario 28,A*,23,18,4,left->up->up->left
Scenario 28,h3,4,6,4,left->up->up->left
Scenario 29,BFS,18,18,4,down->left->up->left
Scenario 29,DFS,37167,203,164,left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->down->right->up->up->left->left->down->down->right->right->up->left->left->up->right->down->down->left->up->right->up->left->down->right->down->left->up->right->up->left
Scenario 29,UCS,18,18,4,down->left->up->left
Scenario 29,A*,17,18,4,down->left->up->left
Scenario 29,h3,4,6,4,down->left->up->left
Scenario 30,BFS,6,8,2,up->left
Scenario 30,DFS,2639,203,160,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->down->right->right->up->up->left->left->down->right->down->left->up->up
Scenario 30,UCS,6,8,2,up->left
Scenario 30,A*,5,8,2,up->left
Scenario 30,h3,2,5,2,up->left
Scenario 31,BFS,35,30,4,right->up->left->left
Scenario 31,DFS,106398,203,170,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->up->left->down->right->down->left->up->right->right->up->left->left->down->right->down->right->up->up->left->left->down->right->down->left->up->right->down->left->up->up->right->down->left->down->right->up->left->up->right->down->left->up->right->down->left->up
Scenario 31,UCS,35,30,4,right->up->left->left
Scenario 31,A*,34,30,4,right->up->left->left
Scenario 31,h3,4,6,4,right->up->left->left
Scenario 32,BFS,35,30,4,right->up->left->left
Scenario 32,DFS,106398,203,170,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->up->left->down->right->down->left->up->right->right->up->left->left->down->right->down->right->up->up->left->left->down->right->down->left->up->right->down->left->up->up->right->down->left->down->right->up->left->up->right->down->left->up->right->down->left->up
Scenario 32,UCS,35,30,4,right->up->left->left
Scenario 32,A*,34,30,4,right->up->left->left
Scenario 32,h3,4,6,4,right->up->left->left
Scenario 33,BFS,17,18,4,up->up->left->left
Scenario 33,DFS,32,43,32,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left
Scenario 33,UCS,17,18,4,up->up->left->left
Scenario 33,A*,16,18,4,up->up->left->left
Scenario 33,h3,4,4,4,up->up->left->left
Scenario 34,BFS,54,40,6,up->up->left->down->left->up
Scenario 34,DFS,21369,203,162,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->down->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->down->left->up->up->right->down->down->left->up->up
Scenario 34,UCS,54,40,6,up->up->left->down->left->up
Scenario 34,A*,53,39,6,up->up->left->down->left->up
Scenario 34,h3,6,7,6,up->up->left->down->left->up
Scenario 35,BFS,10,8,2,left->up
Scenario 35,DFS,30,41,30,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up
Scenario 35,UCS,10,8,2,left->up
Scenario 35,A*,9,8,2,left->up
Scenario 35,h3,2,5,2,left->up
Scenario 36,BFS,64,45,6,down->right->down->left->up->up
Scenario 36,DFS,20365,203,162,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->up->right->right->down->left->left->down->right->right->up->left->up->left->down->right->up->right->down->left->down->right->up->up->left->down->left->up
Scenario 36,UCS,64,45,6,down->right->down->left->up->up
Scenario 36,A*,63,44,6,down->right->down->left->up->up
Scenario 36,h3,7,8,6,down->right->down->left->up->up
Scenario 37,BFS,24,18,4,left->up->up->left
Scenario 37,DFS,2380,203,152,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->down->right->up->left->down->left->up->right->up->left
Scenario 37,UCS,24,18,4,left->up->up->left
Scenario 37,A*,23,18,4,left->up->up->left
Scenario 37,h3,4,6,4,left->up->up->left
Scenario 38,BFS,89,64,6,right->right->down->left->left->up
Scenario 38,DFS,72469,203,158,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->up->right->down->down->left->left->up->right->up->right->down->left->left->down->right->right->up->left->down->right->up->left->up->left->down->right->right->up->left->left
Scenario 38,UCS,89,64,6,right->right->down->left->left->up
Scenario 38,A*,88,63,6,right->right->down->left->left->up
Scenario 38,h3,6,7,6,right->right->down->left->left->up
Scenario 39,BFS,17,18,4,up->up->left->left
Scenario 39,DFS,32,43,32,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left
Scenario 39,UCS,17,18,4,up->up->left->left
Scenario 39,A*,16,18,4,up->up->left->left
Scenario 39,h3,4,4,4,up->up->left->left
Scenario 40,BFS,1,2,0,No Path
Scenario 40,DFS,0,0,0,No Path
Scenario 40,UCS,1,1,0,No Path
Scenario 40,A*,0,1,0,No Path
Scenario 40,h3,0,1,0,No Path
